date,death,totalTestResults
20200327,2,9244
20200327,14,7337
20200327,,74
20200327,10,2261
20200327,191,47411
20200327,13,13982
20200327,0,1855
20200327,0,1281
20200326,1,1860
20200326,1,4099
20200326,3,1839
20200326,0,0
20200326,8,924
20200326,65,20386
20200326,19,8064
20200326,21,6637
20200326,3,1857
20200326,1,166
20200326,28,26096
20200326,48,8926
20200326,1,308
20200326,,4452
20200326,1,2757
20200326,0,2188
20200326,26,16631
20200326,17,4651
20200326,3,3037
20200326,4,3300
20200326,83,18029
20200326,25,23621
20200326,4,674
20200326,,3549
20200326,60,18072
20200326,2,12950
20200326,8,871
20200326,0,0
20200326,6,2776
20200326,,2199
20200326,2,12910
20200326,0,2091
20200326,0,1657
20200326,1,3138
20200326,81,20537
20200326,1,7793
20200326,10,5117
20200326,385,122104
20200326,15,17316
20200326,7,1206
20200326,11,7280
20200326,16,18128
20200326,2,441
20200326,,1427
20200326,9,2763
20200326,1,2019
20200326,3,14909
20200326,18,21424
20200326,1,7710
20200326,13,6189
20200326,,72
20200326,9,2008
20200326,177,35457
20200326,8,12290
20200326,0,1082
20200326,,1105
20200325,1,1691
20200325,0,2812
20200325,2,1717
20200325,0,0
20200325,6,773
20200325,53,18276
20200325,11,7701
20200325,19,5898
20200325,2,1606
20200325,0,151
20200325,22,17056
20200325,40,6179
20200325,1,270
20200325,,4447
20200325,1,2723
20200325,0,1960
20200325,19,14209
20200325,14,3356
20200325,3,2486
20200325,4,3022
20200325,65,11451
20200325,15,19794
20200325,4,517
20200325,,3326
20200325,43,14597
20200325,1,11475
20200325,8,725
20200325,0,0
20200325,2,1943
20200325,,2001
20200325,1,10489
20200325,0,1773
20200325,0,1365
20200325,1,2464
20200325,62,14854
20200325,1,6842
20200325,6,4572
20200325,285,103479
20200325,10,14764
20200325,5,969
20200325,8,4559
20200325,11,12320
20200325,2,368
20200325,,1394
20200325,7,2727
20200325,1,860
20200325,3,11796
20200325,12,13494
20200325,1,6837
20200325,9,5370
20200325,,72
20200325,8,1712
20200325,155,34987
20200325,7,10674
20200325,0,798
20200325,,998
20200324,,1022
20200324,0,2321
20200324,0,1165
20200324,0,0
20200324,5,670
20200324,40,15554
20200324,7,6224
20200324,12,5300
20200324,2,1332
20200324,0,127
20200324,18,14539
20200324,32,5484
20200324,1,233
20200324,,3666
20200324,,2439
20200324,0,1937
20200324,16,11469
20200324,12,2931
20200324,2,2184
20200324,4,1886
20200324,46,8603
20200324,11,13749
20200324,3,443
20200324,,3139
20200324,24,12237
20200324,1,5812
20200324,3,552
20200324,0,0
20200324,1,1872
20200324,,1689
20200324,0,8539
20200324,0,1488
20200324,0,1027
20200324,1,1548
20200324,44,12000
20200324,,5973
20200324,4,4232
20200324,210,91270
20200324,8,704
20200324,3,841
20200324,8,4559
20200324,7,9494
20200324,2,307
20200324,,1324
20200324,5,2310
20200324,1,820
20200324,2,11184
20200324,9,11167
20200324,1,5823
20200324,7,4470
20200324,,17
20200324,7,1535
20200324,142,34535
20200324,5,8694
20200324,0,630
20200324,,739
20200323,,968
20200323,0,1832
20200323,0,1080
20200323,0,0
20200323,2,574
20200323,27,14300
20200323,6,5436
20200323,10,4500
20200323,2,1229
20200323,0,104
20200323,14,12234
20200323,25,5069
20200323,1,190
20200323,,3011
20200323,,2148
20200323,0,1356
20200323,12,9856
20200323,7,1960
20200323,2,499
20200323,3,1866
20200323,34,5948
20200323,9,8922
20200323,3,382
20200323,,2898
20200323,15,10486
20200323,1,4746
20200323,3,552
20200323,0,0
20200323,1,1392
20200323,,1180
20200323,0,8438
20200323,0,1383
20200323,0,406
20200323,,1452
20200323,27,3203
20200323,,5386
20200323,4,3735
20200323,114,78289
20200323,6,582
20200323,2,775
20200323,5,3840
20200323,6,7239
20200323,2,220
20200323,,1249
20200323,5,1764
20200323,1,790
20200323,2,3887
20200323,8,10055
20200323,1,5047
20200323,6,3697
20200323,,17
20200323,5,1181
20200323,133,31329
20200323,5,7466
20200323,0,460
20200323,,618
20200322,,968
20200322,0,1602
20200322,0,876
20200322,0,0
20200322,2,434
20200322,27,12840
20200322,5,4550
20200322,5,3100
20200322,1,1055
20200322,0,92
20200322,13,8820
20200322,23,4020
20200322,1,153
20200322,,311
20200322,,1305
20200322,0,1217
20200322,9,8320
20200322,6,1494
20200322,2,481
20200322,3,1571
20200322,20,3498
20200322,5,6105
20200322,3,338
20200322,,2353
20200322,8,8810
20200322,1,4680
20200322,3,459
20200322,0,0
20200322,1,1321
20200322,,1177
20200322,0,6438
20200322,0,1288
20200322,0,404
20200322,,1253
20200322,20,2241
20200322,,4779
20200322,2,2638
20200322,114,61401
20200322,3,491
20200322,2,736
20200322,4,3025
20200322,2,5443
20200322,,206
20200322,,1015
20200322,3,1661
20200322,1,761
20200322,,3777
20200322,5,8756
20200322,1,3689
20200322,3,3337
20200322,,6
20200322,2,1158
20200322,122,27570
20200322,4,6615
20200322,0,397
20200322,,462
20200321,,772
20200321,0,152
20200321,,685
20200321,0,0
20200321,1,344
20200321,24,12528
20200321,4,3680
20200321,4,2300
20200321,1,583
20200321,0,81
20200321,12,7237
20200321,14,3064
20200321,,123
20200321,,161
20200321,,1117
20200321,,911
20200321,6,6241
20200321,4,833
20200321,2,472
20200321,2,768
20200321,16,2765
20200321,1,5277
20200321,2,284
20200321,,2337
20200321,5,8239
20200321,1,4090
20200321,3,442
20200321,0,0
20200321,1,835
20200321,,1166
20200321,0,5276
20200321,0,1169
20200321,0,394
20200321,,1028
20200321,16,1621
20200321,,3828
20200321,2,2508
20200321,44,45437
20200321,3,387
20200321,1,613
20200321,3,2117
20200321,2,4137
20200321,,164
20200321,,928
20200321,1,1407
20200321,1,705
20200321,,3643
20200321,5,6522
20200321,0,2560
20200321,2,2790
20200321,,6
20200321,2,808
20200321,108,23725
20200321,4,4909
20200321,0,341
20200321,,461
20200320,,698
20200320,0,109
20200320,,447
20200320,0,0
20200320,0,276
20200320,20,11487
20200320,3,2952
20200320,3,798
20200320,1,572
20200320,0,74
20200320,10,2390
20200320,13,2386
20200320,,100
20200320,,150
20200320,,687
20200320,,613
20200320,5,4281
20200320,2,554
20200320,1,461
20200320,1,639
20200320,12,1047
20200320,1,4091
20200320,1,243
20200320,,2321
20200320,3,6773
20200320,,3856
20200320,1,416
20200320,0,0
20200320,1,775
20200320,,947
20200320,0,3233
20200320,0,820
20200320,0,272
20200320,,789
20200320,11,1154
20200320,,3814
20200320,1,2101
20200320,35,32427
20200320,1,309
20200320,1,587
20200320,3,2117
20200320,1,2842
20200320,,128
20200320,,854
20200320,1,914
20200320,1,677
20200320,,791
20200320,5,5277
20200320,0,2147
20200320,2,2325
20200320,,3
20200320,2,808
20200320,102,21109
20200320,3,3661
20200320,0,226
20200320,,350
20200319,,438
20200319,0,96
20200319,,356
20200319,0,0
20200319,0,219
20200319,18,9711
20200319,2,2328
20200319,1,700
20200319,0,192
20200319,0,66
20200319,8,1923
20200319,10,1831
20200319,,81
20200319,,109
20200319,,121
20200319,,470
20200319,4,3147
20200319,2,380
20200319,1,451
20200319,1,489
20200319,8,805
20200319,,3132
20200319,1,201
20200319,,2057
20200319,3,5177
20200319,,3038
20200319,1,332
20200319,0,0
20200319,,602
20200319,,773
20200319,0,2505
20200319,0,508
20200319,0,267
20200319,,660
20200319,9,952
20200319,,2797
20200319,1,1721
20200319,12,22284
20200319,,259
20200319,1,510
20200319,3,1417
20200319,1,1793
20200319,,61
20200319,,698
20200319,1,643
20200319,1,562
20200319,,503
20200319,3,2355
20200319,0,1526
20200319,2,1923
20200319,,3
20200319,,667
20200319,91,17453
20200319,,2347
20200319,0,145
20200319,,289
20200318,,412
20200318,0,74
20200318,,269
20200318,0,0
20200318,0,176
20200318,13,8592
20200318,2,1800
20200318,,193
20200318,,169
20200318,,61
20200318,7,1539
20200318,1,1508
20200318,,65
20200318,,107
20200318,,112
20200318,,468
20200318,1,2051
20200318,2,193
20200318,1,433
20200318,1,380
20200318,6,575
20200318,,2271
