posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
34611,8,63,1997,162,2159
50679,12,0,2150,672,2822
21229,0,9,0,62,62
17589,7,0,2023,222,2245
182,0,0,23,3,26
5049,1,0,537,17,554
75776,26,0,8248,369,8617
22047,7,63,1498,180,1678
5493,1,0,892,26,918
2589,0,1,221,20,241
4603,0,2,876,14,890
7774,13,0,399,96,495
7938,2,90,1395,61,1456
3,0,0,0,0,0
21058,5,0,1563,124,1687
29927,18,0,0,673,673
16849,18,95,1146,339,1485
16600,16,0,14,429,443
3848,2,0,0,91,91
4383,1,0,319,49,368
66484,10,126,5244,617,5861
20326,28,119,3436,709,4145
483,1,0,35,8,43
8929,1,1,250,4,254
7853,2,5,416,52,468
6601,2,1,779,110,889
40384,42,0,4173,986,5159
14375,16,0,596,406,1002
5893,1,35,415,54,469
7556,6,0,635,111,746
45776,34,0,5622,1187,6809
51738,33,120,3685,1118,4803
19218,13,93,2365,325,2690
6432,2,6,0,41,41
40125,78,0,3258,1013,4271
21191,5,10,1351,60,1411
17427,4,0,1232,254,1486
6,0,0,0,4,4
4785,2,121,175,136,311
4918,1,3,476,24,500
26243,2,0,3051,86,3137
4493,0,2,220,16,236
3685,1,0,544,38,582
6400,1,11,572,101,673
52642,88,0,3310,3559,6869
13240,1,0,679,34,713
12798,9,0,838,166,1004
220880,391,2464,7777,7917,15694
29539,10,94,0,348,348
1967,7,42,19,154,173
13872,0,0,0,46,46
48232,11,106,4782,962,5744
1695,3,0,214,47,261
4397,2,0,355,77,432
6326,4,90,417,210,627
4032,1,0,294,21,315
32452,1,25,4648,444,5092
47857,17,0,4134,731,4865
21167,2,18,2529,125,2654
15344,7,140,1709,234,1943
156,0,0,0,0,0
4495,3,9,217,28,245
67159,18,0,0,563,563
20369,8,61,1444,199,1643
4575,0,0,403,29,432
2348,0,1,219,21,240
3713,0,0,54,5,59
7279,7,0,604,122,726
6482,1,0,697,50,747
3,0,0,3,0,3
19371,4,0,2480,132,2612
29254,20,0,1223,1035,2258
15364,0,0,0,0,0
16157,33,0,1000,557,1557
3757,0,0,580,94,674
4015,4,0,1480,55,1535
60623,14,171,6060,865,6925
16181,24,126,2337,1120,3457
440,1,0,19,11,30
8675,0,0,646,29,675
7385,1,20,726,73,799
5712,1,6,901,105,1006
35225,26,0,3842,937,4779
13373,14,0,1342,373,1715
5424,1,13,442,60,502
6810,2,0,751,41,792
38967,54,0,3722,1212,4934
46935,33,109,3274,868,4142
16528,3,76,1552,247,1799
6391,2,8,2694,28,2722
35854,75,0,2796,974,3770
19780,2,20,905,53,958
15941,1,0,1410,296,1706
2,0,0,0,0,0
4474,4,16,548,90,638
4418,0,4,91,13,104
23106,2,0,2051,191,2242
4257,1,2,403,17,420
3103,1,0,347,27,374
5727,0,0,27,0,27
45773,69,0,1853,2060,3913
12527,2,0,1304,44,1348
11794,2,0,474,105,579
205186,332,2183,9420,9298,18718
29191,16,110,1650,266,1916
1794,6,24,22,84,106
13826,2,14,859,84,943
42488,14,128,3868,756,4624
1434,2,0,264,65,329
3965,4,0,289,87,376
5699,4,130,456,158,614
3717,0,12,131,7,138
27360,10,27,3651,405,4056
42992,7,0,6723,389,7112
18513,1,73,2429,81,2510
13401,2,29,1133,230,1363
156,0,0,0,0,0
4250,1,18,283,37,320
66596,13,0,0,464,464
18726,2,337,1519,130,1649
4143,0,0,997,36,1033
2108,0,0,159,15,174
3654,1,1,308,12,320
6553,2,0,1510,53,1563
5735,1,0,2235,47,2282
0,0,0,0,0,0
16759,3,0,2649,238,2887
26996,10,0,0,739,739
15364,7,140,1522,566,2088
14600,2,0,2122,578,2700
3083,4,0,213,59,272
2480,0,0,2180,32,2212
53698,7,58,9155,1227,10382
12724,7,41,2,158,160
410,0,0,18,2,20
8000,0,0,976,24,1000
6586,2,6,1149,88,1237
4706,1,3,375,49,424
30446,8,0,2223,461,2684
11658,3,0,1556,272,1828
4922,2,11,360,49,409
6018,0,0,432,45,477
34033,34,0,5677,485,6162
42793,8,54,2930,797,3727
14729,5,76,962,174,1136
3669,0,49,0,22,22
32084,52,0,5507,891,6398
18822,1,17,1092,73,1165
14235,3,0,1657,193,1850
2,0,0,0,0,0
3836,2,-40,429,89,518
4314,3,2,0,17,17
20864,2,0,1652,267,1919
3837,1,2,373,11,384
2729,0,0,616,37,653
5700,1,12,862,100,962
41860,37,0,3008,3250,6258
11179,0,0,173,0,173
11215,1,0,1795,270,2065
186468,253,1646,7124,6984,14108
27275,10,72,6330,280,6610
1688,1,13,2,52,54
12883,3,11,1399,58,1457
37864,11,33,3716,693,4409
1105,1,0,90,47,137
3589,1,0,347,108,455
5085,2,0,1145,151,1296
3579,0,0,351,11,362
23304,6,15,2433,297,2730
35880,0,0,9795,325,10120
16003,2,0,1923,87,2010
12038,3,24,1299,130,1429
156,0,0,3,7,10
3930,0,0,208,21,229
66132,11,0,5670,464,6134
17077,1,0,-694,109,-585
3110,1,0,279,13,292
1934,0,2,286,8,294
3334,0,1,396,17,413
4990,1,0,0,110,110
3453,1,0,89,22,111
0,0,0,0,0,0
13872,2,0,5498,46,5544
26257,22,0,0,1065,1065
13276,13,35,1273,327,1600
11900,7,0,2798,702,3500
2811,1,0,258,38,296
268,3,0,0,18,18
43316,2,68,3704,483,4187
12564,11,49,1228,285,1513
390,0,0,35,1,36
7000,0,4,2492,31,2523
5349,1,7,638,38,676
4282,1,11,679,31,710
27762,18,0,1166,1105,2271
9830,1,0,1141,282,1423
4513,1,28,523,58,581
5541,1,0,326,92,418
27871,14,0,2485,225,2710
39066,4,49,3319,698,4017
13593,5,51,838,247,1085
